Area,Year,Casualties
Afghanistan,2001,5553
Afghanistan,2002,1157
Afghanistan,2003,944
Afghanistan,2004,817
Afghanistan,2005,1711
Afghanistan,2006,4982
Afghanistan,2007,7020
Afghanistan,2008,5660
Afghanistan,2009,6499
Afghanistan,2010,7151
Afghanistan,2011,7563
Afghanistan,2012,7824
Afghanistan,2013,8131
Afghanistan,2014,12549
Afghanistan,2015,17987
Afghanistan,2016,18719
Afghanistan,2017,19776
Afghanistan,2018,26889
Afghanistan,2019,30435
Afghanistan,2020,20838
Algeria,2001,674
Algeria,2002,1058
Algeria,2003,714
Algeria,2004,500
Algeria,2005,232
Algeria,2006,292
Algeria,2007,495
Algeria,2008,345
Algeria,2009,541
Algeria,2010,252
Algeria,2011,276
Algeria,2012,264
Algeria,2013,222
Algeria,2014,111
Algeria,2015,110
Algeria,2016,89
Algeria,2017,77
Algeria,2018,35
Algeria,2019,15
Algeria,2020,28
Angola,2001,2154
Angola,2002,579
Angola,2003,84
Angola,2004,38
Angola,2005,15
Angola,2006,3
Angola,2007,26
Angola,2008,4
Angola,2009,25
Angola,2010,10
Angola,2011,1
Angola,2013,2
Angola,2014,0
Angola,2015,1
Angola,2016,26
Angola,2017,26
Angola,2018,24
Angola,2019,26
Angola,2020,29
Armenia,2005,1
Armenia,2006,2
Armenia,2012,9
Armenia,2013,1
Armenia,2015,16
Armenia,2016,4
Armenia,2018,1
Armenia,2019,2
Armenia,2020,10
Australia,2018,2
Austria,2020,4
Azerbaijan,2001,6
Azerbaijan,2004,8
Azerbaijan,2005,24
Azerbaijan,2006,5
Azerbaijan,2007,12
Azerbaijan,2008,30
Azerbaijan,2009,7
Azerbaijan,2010,20
Azerbaijan,2011,21
Azerbaijan,2012,16
Azerbaijan,2013,11
Azerbaijan,2014,46
Azerbaijan,2015,63
Azerbaijan,2016,137
Azerbaijan,2017,36
Azerbaijan,2018,16
Azerbaijan,2019,9
Azerbaijan,2020,7636
Bahrain,2011,26
Bangladesh,2001,62
Bangladesh,2002,6
Bangladesh,2003,8
Bangladesh,2004,51
Bangladesh,2005,80
Bangladesh,2006,96
Bangladesh,2007,18
Bangladesh,2008,13
Bangladesh,2009,10
Bangladesh,2010,5
Bangladesh,2011,0
