,GAUL
0,1
1,3
2,4
3,8
4,12
5,13
6,17
7,18
8,19
9,23
10,24
11,26
12,27
13,28
14,29
15,33
16,34
17,35
18,37
19,40
20,41
21,42
22,47
23,44
24,45
25,49
26,50
27,33364
28,149
29,57
30,59
31,61
32,66
33,62
34,63
35,64
36,65
37,67
38,68
39,69
40,70
41,71
42,72
43,73
44,40765
45,75
46,78
47,235
48,79
49,83
50,84
51,85
52,87
53,89
54,90
55,92
56,93
57,94
58,97
59,103
60,107
61,108
62,111
63,113
64,114
65,115
66,116
67,117
68,118
69,119
70,121
71,122
72,123
73,126
74,130
75,132
76,133
77,135
78,137
79,138
80,139
81,140
82,141
83,142
84,144
85,147
86,148
87,150
88,152
89,153
90,155
91,156
92,159
93,160
94,162
95,167
96,2647
97,169
98,170
99,171
100,172
101,175
102,177
103,178
104,179
105,180
106,182
107,241
108,186
109,187
110,188
111,191
112,192
113,194
114,195
115,196
116,198
117,199
118,202
119,203
120,205
121,211
122,212
123,214
124,215
125,217
126,2648
127,221
128,223
129,224
130,225
131,226
132,227
133,229
134,231
135,233
136,236
137,237
138,240
139,242
140,243
141,246
142,248
143,249
144,250
145,254
146,255
147,256
148,257
149,260
150,261
151,262
152,263
153,264
154,269
