,GAUL,ee check
0,1,working
1,3,working
2,4,working
3,8,working
4,12,working
5,13,working
6,17,working
7,18,working
8,19,working
9,23,working
10,24,working
11,26,working
12,27,working
13,28,working
14,29,working
15,33,working
16,34,working
17,35,working
18,37,working
19,40,working
20,41,working
21,42,working
22,47,working
23,44,working
24,45,working
25,46,shape_error
26,49,working
27,50,working
28,51,shape_error
29,33364,working
30,149,working
31,53,name_error
32,57,working
33,59,working
34,61,working
35,66,working
36,62,working
37,63,working
38,64,working
39,65,working
40,67,working
41,68,working
42,69,working
43,70,working
44,71,working
45,72,working
46,73,working
47,40765,working
48,75,working
49,78,working
50,235,working
51,79,working
52,83,working
53,84,working
54,85,working
55,87,working
56,89,working
57,90,working
58,92,working
59,93,working
60,94,working
61,97,working
62,103,working
63,107,working
64,108,working
65,111,working
66,113,working
67,114,working
68,115,working
69,116,working
70,117,working
71,118,working
72,119,working
73,121,working
74,122,working
75,123,working
76,126,working
77,130,working
78,132,working
79,133,working
80,135,working
81,137,working
82,138,working
83,139,working
84,140,working
85,141,working
86,142,working
87,144,working
88,147,working
89,148,working
90,150,working
91,152,working
92,153,working
93,155,working
94,156,working
95,159,working
96,160,working
97,162,working
98,167,working
99,2647,working
100,169,working
101,170,working
102,171,working
103,172,working
104,175,working
105,177,working
106,178,working
107,179,working
108,180,working
109,182,working
110,241,working
111,186,working
112,187,working
113,188,working
114,191,working
115,192,working
116,194,working
117,195,working
118,196,working
119,198,working
120,199,working
121,202,working
122,203,working
123,204,shape_error
124,205,working
125,211,working
126,212,working
127,214,working
128,215,working
129,217,working
130,2648,working
131,221,working
132,223,working
133,224,working
134,225,working
135,226,working
136,227,working
137,229,working
138,231,working
139,40764,name_error
140,233,working
141,236,working
142,237,working
143,240,working
144,242,working
145,243,working
146,246,working
147,248,working
148,249,working
149,250,working
150,254,working
151,255,working
152,256,working
153,257,working
154,259,shape_error
155,260,working
156,261,working
157,262,working
158,263,working
159,264,working
160,269,working
