,GAUL,Year,NDVI
0,1,2001,0.13050858208703642
1,1,2002,0.13520605132015975
2,1,2003,0.13433421158596018
3,1,2004,0.13220600850252928
4,1,2005,0.1372831668018176
5,1,2006,0.12932513093736042
6,1,2007,0.1399099001075145
7,1,2008,0.12089364899252013
8,1,2009,0.15188810266254593
9,1,2010,0.14821212815349788
10,1,2011,0.12630023470115567
11,1,2012,0.1333787095875393
12,1,2013,0.13687451552219715
13,1,2014,
14,1,2015,
15,1,2016,
16,1,2017,
17,1,2018,
18,1,2019,
19,1,2020,
20,3,2001,0.5647169023565607
21,3,2002,0.5469718147303647
22,3,2003,0.5601111226965949
23,3,2004,0.5657671228888114
24,3,2005,0.5569077395667474
25,3,2006,0.5676116809333153
26,3,2007,0.5641840510300175
27,3,2008,0.5627995421082028
28,3,2009,0.5543749187288559
29,3,2010,0.568052753274002
30,3,2011,0.5946239620333363
31,3,2012,0.5585504832244162
32,3,2013,0.5820552638338968
33,3,2014,
34,3,2015,
35,3,2016,
36,3,2017,
37,3,2018,
38,3,2019,
39,3,2020,
40,4,2001,0.11812564350509629
41,4,2002,0.11351200819670908
42,4,2003,0.11349381802225232
43,4,2004,0.11764688417413038
44,4,2005,0.11337101398030018
45,4,2006,0.11438673676707316
46,4,2007,0.11676321327781987
47,4,2008,0.11348797821409856
48,4,2009,0.1259335436863611
49,4,2010,0.12014245066143427
50,4,2011,0.12210505871059063
51,4,2012,0.12688007082579555
52,4,2013,0.12518622731732695
53,4,2014,
54,4,2015,
55,4,2016,
56,4,2017,
57,4,2018,
58,4,2019,
59,4,2020,
60,8,2001,0.5804302543821507
61,8,2002,0.5841826625705949
62,8,2003,0.5824229273741185
63,8,2004,0.5735448672600083
64,8,2005,0.5654819496712651
65,8,2006,0.5851739326766379
66,8,2007,0.5665229052173806
67,8,2008,0.5853194023364915
68,8,2009,0.592105060580275
69,8,2010,0.5906342588402697
70,8,2011,0.5928434210561172
71,8,2012,0.5737220496417219
72,8,2013,0.57439549452936
73,8,2014,
74,8,2015,
75,8,2016,
76,8,2017,
77,8,2018,
78,8,2019,
79,8,2020,
80,12,2001,0.4520127883485466
81,12,2002,0.44200710482397926
82,12,2003,0.4348254720350932
83,12,2004,0.4384589113283604
84,12,2005,0.4286174882436867
85,12,2006,0.4322243800877405
86,12,2007,0.4304995873596398
87,12,2008,0.41411292249059467
88,12,2009,0.4005223855479172
89,12,2010,0.43437789876036215
90,12,2011,0.43151099255938447
91,12,2012,0.43870774501622306
92,12,2013,0.42943958378794145
93,12,2014,
94,12,2015,
95,12,2016,
