,GAUL,Year,NDVI
0,1,2001,1064.4864680125604
1,1,2002,1040.4509501156374
2,1,2003,972.4934396971609
3,1,2004,937.7235502223148
4,1,2005,980.5456357764812
5,1,2006,897.7808696186237
6,1,2007,995.2909641016752
7,1,2008,883.2134098844971
8,1,2009,983.3508769242738
9,1,2010,942.6761106425952
10,1,2011,859.3933404413974
11,1,2012,867.1241945046334
12,1,2013,907.7099652711172
13,1,2014,874.849570428016
14,1,2015,830.251088346186
15,1,2016,900.4543788498872
16,1,2017,878.5650746771819
17,1,2018,720.5096366970635
18,1,2019,576.2787551221206
19,1,2020,451.3159339319598
20,3,2001,2437.696941422332
21,3,2002,2063.2942474227875
22,3,2003,2279.142145356677
23,3,2004,2267.5817783283087
24,3,2005,2059.2222862351678
25,3,2006,2394.068606437276
26,3,2007,2371.8205236567364
27,3,2008,2391.5479384309547
28,3,2009,2191.0289788314567
29,3,2010,2107.846161625164
30,3,2011,2556.323907961731
31,3,2012,2482.268795195668
32,3,2013,2364.644009607567
33,3,2014,2265.0303869024347
34,3,2015,2457.17659426102
35,3,2016,2318.720399248428
36,3,2017,2323.567093424943
37,3,2018,1856.4624012143447
38,3,2019,1835.6817816281728
39,3,2020,1719.2176337627177
40,4,2001,1171.859387440205
41,4,2002,1113.986329650411
42,4,2003,1082.2396003076285
43,4,2004,1116.1992271616386
44,4,2005,1097.805576235843
45,4,2006,1146.3333745496595
46,4,2007,1183.9993935704906
47,4,2008,1162.4325896889734
48,4,2009,1240.9449883941552
49,4,2010,1066.9618818864112
50,4,2011,1100.4253470166752
51,4,2012,1111.633883561877
52,4,2013,1126.0844340763003
53,4,2014,1089.9703707442152
54,4,2015,1076.877058521147
55,4,2016,1050.4265773468844
56,4,2017,1068.2835940081443
57,4,2018,1021.7936458511386
58,4,2019,945.3907796604324
59,4,2020,798.9786537169168
60,8,2001,2894.440543448356
61,8,2002,2804.634055973442
62,8,2003,2665.3541114396035
63,8,2004,2606.1001992970128
64,8,2005,2500.4498694650856
65,8,2006,2648.6847943274674
66,8,2007,2662.995674871462
67,8,2008,2719.6222900621947
68,8,2009,2718.379750449756
69,8,2010,2647.398868737855
70,8,2011,2613.3615146984826
71,8,2012,2559.2034687950004
72,8,2013,2603.049017279528
73,8,2014,2565.806462351321
74,8,2015,2454.945820012801
75,8,2016,2488.276627634133
76,8,2017,2351.47396779911
77,8,2018,2278.3422565523856
78,8,2019,1183.4322581468905
79,8,2020,539.6116018492079
80,12,2001,2048.9205734082466
81,12,2002,1972.6980631858885
82,12,2003,1983.0538799665376
83,12,2004,1920.0477934841083
84,12,2005,1826.425044162184
85,12,2006,1977.8977686630976
86,12,2007,1882.5253170876304
87,12,2008,1884.007707464736
88,12,2009,1860.756029924068
89,12,2010,1872.534531871873
90,12,2011,1842.217359006104
91,12,2012,1875.5030018728417
92,12,2013,1904.2643985150164
93,12,2014,1901.6841255437407
94,12,2015,1772.658716341251
95,12,2016,1746.8157084539075
96,12,2017,1806.5349405866104
97,12,2018,1505.847882455433
98,12,2019,947.0085716785364
99,12,2020,527.6282158515702
100,13,2001,1746.014659158972
101,13,2002,1710.0695745626783
102,13,2003,1393.0454907609856
103,13,2004,1596.4435422785036
104,13,2005,1466.3053335279249
105,13,2006,1681.300349716843
106,13,2007,1589.4957614155614
107,13,2008,1606.6588648150637
108,13,2009,1570.5413055279862
109,13,2010,1891.329746705686
110,13,2011,1487.605634721001
111,13,2012,1615.3322795561846
112,13,2013,1633.5610778347918
113,13,2014,1578.2313046489862
114,13,2015,1588.9993822088709
115,13,2016,1510.179112954712
116,13,2017,1557.3805504917148
117,13,2018,1461.7309112500868
118,13,2019,1346.6457094742532
119,13,2020,1350.5516319845772
120,17,2001,2179.539733695196
121,17,2002,2129.460150943293
122,17,2003,1990.9635881647828
123,17,2004,2035.357198627848
124,17,2005,1939.3279448155304
125,17,2006,2034.2088252629608
126,17,2007,1982.506801001662
127,17,2008,1968.9899774021053
128,17,2009,2023.947913651093
129,17,2010,1885.3247305289276
130,17,2011,2030.825733924051
131,17,2012,2020.775535074947
132,17,2013,1882.1448421994703
133,17,2014,1949.7245603678527
134,17,2015,1846.6768029984564
135,17,2016,1859.9646958365836
136,17,2017,1946.9987643377217
137,17,2018,1591.2762440703225
138,17,2019,714.6743304270723
139,17,2020,401.7410746141924
140,18,2001,1827.8194087433528
141,18,2002,1716.769483590336
142,18,2003,1829.6726933749555
143,18,2004,1485.2400907197057
144,18,2005,1551.2198510478906
145,18,2006,1737.1670184396792
146,18,2007,1894.352238923861
147,18,2008,1712.6927744467785
148,18,2009,1704.56701906922
149,18,2010,1433.5882584291944
150,18,2011,2093.1396329011195
151,18,2012,1852.0484446591304
152,18,2013,1584.0344758278443
153,18,2014,1613.0844197173049
154,18,2015,1896.4637587959355
155,18,2016,1709.7477395534345
156,18,2017,1694.7407731953683
157,18,2018,1621.9943663070517
158,18,2019,1433.4921678052592
159,18,2020,1433.0067707999424
160,19,2001,1839.4692669888964
161,19,2002,1772.8003879019511
162,19,2003,1545.0241721320403
163,19,2004,1879.3836497709544
164,19,2005,1594.9159957272984
165,19,2006,1761.2093871962293
166,19,2007,1643.1325774057025
167,19,2008,1632.435106850337
168,19,2009,1673.4762453268447
169,19,2010,1862.8904409823704
170,19,2011,1536.6580613503468
171,19,2012,1718.0272814383936
172,19,2013,1787.851770541424
173,19,2014,1572.159506917474
174,19,2015,1762.411208260567
175,19,2016,1638.5444698981462
176,19,2017,1724.545491066168
177,19,2018,1515.4776212421325
178,19,2019,1324.7025184399035
179,19,2020,1031.6520527637206
180,23,2001,2326.51090011147
181,23,2002,2261.67834789856
182,23,2003,2186.268500771914
183,23,2004,2063.760090228012
184,23,2005,2160.3090817750394
185,23,2006,2244.858456074196
186,23,2007,2111.127350309654
187,23,2008,2196.27485512344
188,23,2009,2263.9227034147034
189,23,2010,2092.923126137735
190,23,2011,2175.254404716157
191,23,2012,2162.2322703935056
192,23,2013,2199.194769430632
193,23,2014,2296.9714211945943
194,23,2015,2048.806960075932
195,23,2016,2087.058064745156
196,23,2017,2098.781158735532
197,23,2018,1826.9872269201112
198,23,2019,1508.4427597558436
199,23,2020,897.9868277343762
200,24,2001,1960.4985189864328
201,24,2002,1980.6388127768923
202,24,2003,1743.4937913860272
203,24,2004,1972.305440908916
204,24,2005,1845.9925885185048
205,24,2006,1617.076570687076
206,24,2007,1688.479720842609
207,24,2008,1554.5882471846924
208,24,2009,1740.2193364558536
209,24,2010,1823.9987378062144
210,24,2011,1917.4221957172565
211,24,2012,1908.2038810756292
212,24,2013,1876.920864939546
213,24,2014,1603.7135779562996
214,24,2015,1614.4878800870424
215,24,2016,1784.66284371166
216,24,2017,1894.691029510485
217,24,2018,1580.775158040604
218,24,2019,1212.807251517664
219,24,2020,780.3773376805946
220,26,2001,1631.8149927446316
221,26,2002,1711.3083189352722
222,26,2003,1350.824249087288
223,26,2004,1393.4526359478873
224,26,2005,1505.9757039228275
225,26,2006,1486.8452414299006
226,26,2007,1563.8807919819264
227,26,2008,1460.698671900915
228,26,2009,1555.3544658427038
229,26,2010,1471.7982419583373
230,26,2011,1586.4689272283156
231,26,2012,1450.2976575034495
232,26,2013,1341.275495915089
233,26,2014,1793.4995404278395
234,26,2015,1673.8632331014733
235,26,2016,1412.8182680564837
236,26,2017,1342.4828068908228
237,26,2018,1687.8848731127073
238,26,2019,1721.6767152063194
239,26,2020,1574.870256058138
240,27,2001,1777.6838501833815
241,27,2002,1678.428536376702
242,27,2003,2074.9654643326407
243,27,2004,1557.117250433797
244,27,2005,1707.1974872904182
245,27,2006,1755.9807243006208
246,27,2007,1837.8030815137065
247,27,2008,1687.4970311955894
248,27,2009,1675.7933626892384
249,27,2010,1463.1854138067297
250,27,2011,2006.9347213523083
251,27,2012,1632.7787161612805
252,27,2013,1556.8604587280918
253,27,2014,1705.66686788427
254,27,2015,1842.8646222715856
255,27,2016,1671.495999785178
256,27,2017,1541.0983509731927
257,27,2018,1873.090061441856
258,27,2019,1657.4548345295634
259,27,2020,1836.6076426209509
260,28,2001,2968.04165813442
261,28,2002,3014.787132260752
262,28,2003,2886.39814637284
263,28,2004,2964.478226411087
264,28,2005,2780.194175704164
265,28,2006,2541.3203576425017
266,28,2007,2784.26010968213
267,28,2008,2748.9179772443167
268,28,2009,2859.720618995677
269,28,2010,2595.40976105912
270,28,2011,2694.578850675688
271,28,2012,2757.510398709337
272,28,2013,2455.171189394363
273,28,2014,2706.3719223624325
274,28,2015,2803.2425733849227
275,28,2016,2775.195228056641
276,28,2017,3008.794738332144
277,28,2018,2955.2984131869453
278,28,2019,2859.0076093617145
279,28,2020,1247.6634239386558
280,29,2001,2571.901015521219
281,29,2002,2544.350982424889
282,29,2003,2471.2920963237616
283,29,2004,2367.461297471325
284,29,2005,2333.3681265367773
285,29,2006,2350.470522285419
286,29,2007,2263.059767630394
287,29,2008,2424.7378699710025
288,29,2009,2436.937464078584
289,29,2010,2343.489748957693
290,29,2011,2357.818099948408
291,29,2012,2264.53198036521
292,29,2013,2355.077759987768
293,29,2014,2368.712965803276
294,29,2015,2201.316998783604
295,29,2016,2236.7604865410835
296,29,2017,2302.521276653716
297,29,2018,2294.2128864613087
298,29,2019,1984.920357816633
299,29,2020,1162.2869313457104
300,33,2001,2648.7692872946486
301,33,2002,2492.556132829249
302,33,2003,2536.513981833265
303,33,2004,2266.0998332366858
304,33,2005,2384.69260255828
305,33,2006,2505.176500774363
306,33,2007,2433.4933291258544
307,33,2008,2496.027304978909
